cluster,Adverse Events
Antiviral Treatment Challenges,virologic failure;drug resistance;viral mutation identified;pathogen resistance;treatment failure;drug ineffective;treatment noncompliance;blood hiv rna increased;viral load increased;genotype drug resistance test positive;hiv viraemia;drug intolerance;viraemia;disease progression;drug level above therapeutic;therapy non-responder;rebound effect;therapeutic response decreased;drug dose omission;therapy change;therapeutic product effect incomplete;retroviral rebound syndrome;drug level decreased;prescribed underdose;therapy cessation;drug level below therapeutic;blood hiv rna;viral load abnormal;no therapeutic response;drug resistance mutation;antiviral drug level below therapeutic;antiviral drug level above therapeutic;drug effect increased;therapy interrupted;drug interaction;toxicity to various agents;paradoxical drug reaction;overdose;multiple-drug resistance
Cardiovascular and Circulatory Disorders,hypertension;acute myocardial infarction;myocardial infarction;chest pain;pulmonary embolism;thrombosis;hypotension;palpitations;cardiac disorder;coronary artery disease;deep vein thrombosis;portal hypertension;acute coronary syndrome;syncope;cardiac failure congestive;cardiac failure;tachycardia;cerebral ischaemia;pericardial effusion;angina pectoris;congestive cardiomyopathy;vascular stent thrombosis;cardiovascular disorder;cardiac failure acute;pulmonary hypertension;cardiac arrest;left ventricular dysfunction;bradycardia;blood pressure increased;myocarditis;atrial fibrillation;cerebral infarction;arteriosclerosis;myocardial ischaemia;transient ischaemic attack;intestinal ischaemia;ischaemic stroke;ventricular extrasystoles;arrhythmia;hypertensive crisis;stenosis;aortic stenosis;bundle branch block left;cerebral haemorrhage;chest discomfort;portal vein thrombosis;hypertrophic cardiomyopathy;cardiac murmur;cardiotoxicity;carotid arteriosclerosis;left ventricular failure;atrial septal defect
Congenital and Developmental Disorders,fanconi syndrome acquired;fanconi syndrome;stevens-johnson syndrome;osteomalacia;microcephaly;trisomy 18;meningomyelocele;spina bifida;hydrocele;anencephaly;hydranencephaly;congenital anomaly;skull malformation;arnold-chiari malformation;diastasis recti abdominis;scoliosis;epidermodysplasia verruciformis;hereditary optic atrophy;congenital acrochordon;plagiocephaly;genitalia external ambiguous;strabismus congenital;facet joint syndrome;congenital skin dimples;developmental hip dysplasia;cervical dysplasia;hypospadias;ankyloglossia congenital;congenital cytomegalovirus infection;heart disease congenital;birth mark;body height decreased;brachydactyly;cleft lip and palate;cleft palate;congenital hydrocephalus;congenital umbilical hernia;dysmorphism;encephalocele;foetal malformation;foot deformity;gene mutation;hydrocephalus;limb deformity;meconium ileus;micrognathia;musculoskeletal deformity;neck deformity;neural tube defect;pachygyria;polydactyly;spinal deformity;syndactyly;talipes;umbilical hernia;ventricular septal defect
Death,death;death neonatal
Dermatological and Hypersensitivity Reactions,rash;rash pruritic;urticaria;pruritus;skin exfoliation;erythema;dermatitis allergic;drug eruption;skin disorder;skin hyperpigmentation;rash maculo-papular;rash erythematous;photosensitivity reaction;pemphigoid;eczema;psoriasis;angioedema;skin necrosis;skin plaque;skin ulcer;toxic epidermal necrolysis;skin lesion;pruritus generalised;alopecia;skin discolouration;skin toxicity;onychomycosis;pigmentation disorder;papule;acute generalised exanthematous pustulosis;drug hypersensitivity;drug reaction with eosinophilia and systemic symptoms;erythema annulare;eyelid oedema;face oedema;flushing;hypersensitivity;lip swelling;lipoatrophy;local swelling;rash macular;sjs-ten overlap;skin mass
Diagnostic and Therapeutic Procedures,transfusion;gastrostomy;vitiligo;adverse drug reaction;drug level increased;gene mutation identification test positive;hospitalisation;inappropriate schedule of product administration;incorrect route of product administration;intentional product use issue;knee operation;labelled drug-drug interaction issue;laboratory test abnormal;medical diet;medication error;prescribed overdose;product administration error;product substitution issue;product use issue;renal transplant;ultrasound antenatal screen;ultrasound antenatal screen abnormal;uterine dilation and curettage
Gastrointestinal and Hepatic Disorders,nausea;vomiting;diarrhoea;abdominal pain;dyspepsia;gastritis;flatulence;dysphagia;constipation;gastroenteritis;abdominal distension;oral discomfort;gingival bleeding;mouth ulceration;dry mouth;abdominal discomfort;ascites;cholestasis;anal cancer;appendicitis;tongue coated;intestinal obstruction;hepatic cirrhosis;hepatomegaly;jaundice;hepatitis;pancreatitis;haematemesis;oesophageal varices haemorrhage;abdominal pain lower;abdominal pain upper;abdominal tenderness;acute hepatic failure;alanine aminotransferase increased;amylase increased;aspartate aminotransferase increased;blood alkaline phosphatase increased;blood bilirubin increased;cholecystitis acute;cholelithiasis;cholestatic liver injury;chronic gastritis;chronic hepatitis;colitis microscopic;drug-induced liver injury;faeces discoloured;gamma-glutamyltransferase increased;gastric disorder;gastrointestinal disorder;gastrointestinal haemorrhage;gastrooesophageal reflux disease;haematochezia;hepatic cytolysis;hepatic encephalopathy;hepatic enzyme abnormal;hepatic enzyme increased;hepatic failure;hepatic fibrosis;hepatic function abnormal;hepatic necrosis;hepatic steatosis;hepatitis acute;hepatitis cholestatic;hepatitis fulminant;hepatitis toxic;hepatocellular carcinoma;hepatocellular injury;hepatotoxicity;hyperbilirubinaemia;intestinal perforation;lipase increased;liver disorder;liver function test abnormal;liver function test increased;liver injury;mixed liver injury;non-cirrhotic portal hypertension;nonalcoholic fatty liver disease;oral disorder;pancreatitis acute;peptic ulcer;portal hypertensive gastropathy;tooth disorder;transaminases increased;ulcer;varices oesophageal
General Symptoms and Fatigue,fatigue;pain;discomfort;malaise;general physical health deterioration;asthenia;loss of personal independence in daily activities;feeling abnormal;hyperhidrosis;feeling hot;poor quality sleep;night sweats;pallor;lethargy;dizziness;weight fluctuation;abnormal dreams;pyrexia;chills;quality of life decreased;fear of falling;bedridden;c-reactive protein;cachexia;condition aggravated;decreased activity;decreased appetite;disease recurrence;exercise tolerance decreased;fibrosis;illness;impaired work ability;inflammation;multi-organ failure;multiple organ dysfunction syndrome;necrosis;nodule;oedema;oedema peripheral;oropharyngeal pain;osteonecrosis;peripheral swelling;physical disability;poisoning;swelling face;tooth loss;wheelchair user
Hematological and Lymphatic Disorders,anaemia;thrombocytopenia;pancytopenia;neutropenia;leukocytosis;bone marrow oedema;splenomegaly;haemorrhage;acute myeloid leukaemia;anaemia macrocytic;anaemia of chronic disease;blood lactate dehydrogenase increased;bone marrow failure;diffuse large b-cell lymphoma;epistaxis;eye haemorrhage;febrile neutropenia;fibrous histiocytoma;full blood count decreased;haemoglobin decreased;haemolytic anaemia;hepatosplenomegaly;international normalised ratio fluctuation;international normalised ratio increased;leukopenia;lymph node pain;lymphadenopathy mediastinal;lymphoedema;metastases to lymph nodes;monoclonal gammopathy;myelosuppression;neutrophil count decreased;non-hodgkin's lymphoma;platelet count decreased;red blood cell abnormality;white blood cell count decreased
Immune and Autoimmune Disorders,lymphadenopathy;aplasia pure red cell;disseminated tuberculosis;lymphopenia;neurosyphilis;basedow's disease;unmasking of previously unidentified disease;rash papular;haemophagocytic lymphohistiocytosis;cd4 lymphocytes abnormal;toxic skin eruption;lichenoid keratosis;lymphoma;tuberculoma of central nervous system;secondary syphilis;oesophageal ulcer;syphilis;histoplasmosis disseminated;papilloedema;lymphadenitis;autoimmune hepatitis;generalised oedema;systemic lupus erythematosus;dermatitis exfoliative;purpura;scleroderma;systemic scleroderma;mycosis fungoides;white blood cell disorder;abdominal lymphadenopathy;acquired immunodeficiency syndrome;castleman's disease;cd4 lymphocytes decreased;cd4 lymphocytes increased;central nervous system immune reconstitution inflammatory response;csf hiv escape syndrome;dactylitis;graves' disease;immune reconstitution inflammatory syndrome;immune reconstitution inflammatory syndrome associated kaposi's sarcoma;immune reconstitution inflammatory syndrome associated tuberculosis;immune system disorder;immunodeficiency;immunosuppression;myasthenia gravis;psoriatic arthropathy;rheumatic disorder;transplant rejection;type 1 lepra reaction
Injury and Procedural Complications,fall;fracture;injury;swelling;contusion;scar;abscess limb;ankle fracture;arthritis infective;back injury;cervical vertebral fracture;clavicle fracture;craniocerebral injury;femoral neck fracture;femur fracture;fibula fracture;foot fracture;hand fracture;hip arthroplasty;hip fracture;humerus fracture;joint injury;limb injury;lower limb fracture;lumbar vertebral fracture;multiple fractures;multiple injuries;musculoskeletal toxicity;osteoporotic fracture;patella fracture;pathological fracture;radius fracture;rib fracture;road traffic accident;skeletal injury;spinal compression fracture;spinal fracture;stress fracture;tibia fracture;tooth fracture;ulna fracture;upper limb fracture;wound secretion;wrist fracture
Metabolic and Endocrine Disorders,diabetes mellitus;type 2 diabetes mellitus;hyperglycaemia;hypoglycaemia;weight increased;weight decreased;cushing's syndrome;hypothyroidism;hyperthyroidism;metabolic acidosis;hyponatraemia;hypokalaemia;hyperkalaemia;hyperlipidaemia;lipodystrophy acquired;dehydration;vitamin b12 deficiency;hyperphagia;hypophagia;gynaecomastia;osteopenia;alcohol poisoning;blood cholesterol abnormal;blood cholesterol increased;blood glucose increased;blood lactic acid increased;blood triglycerides increased;blood uric acid increased;body fat disorder;body mass index increased;bone demineralisation;bone density abnormal;bone density decreased;bone disorder;bone loss;bone metabolism disorder;degenerative bone disease;delayed puberty;diabetes insipidus;diabetes mellitus inadequate control;diabetic ketoacidosis;dyslipidaemia;endocrine ophthalmopathy;fat tissue increased;folate deficiency;glucose tolerance impaired;goitre;gout;hypercalcaemia;hypercholesterolaemia;hyperlactacidaemia;hypermetabolism;hyperparathyroidism;hyperparathyroidism secondary;hyperphosphataemia;hypertriglyceridaemia;hyperuricaemia;hypocalcaemia;hypogonadism;hypophosphataemia;hypophosphataemic osteomalacia;hypopituitarism;lactic acidosis;lipids abnormal;lipids increased;low density lipoprotein increased;malnutrition;metabolic disorder;mitochondrial toxicity;osteoporosis;polydipsia;porphyria acute;porphyria non-acute;protein total increased;tumour lysis syndrome;vitamin d deficiency
Neuromuscular and Sensory Disorders,myalgia;tremor;paraesthesia;dysarthria;seizure;gait disturbance;dysdiadochokinesis;paralysis;petit mal epilepsy;gait inability;tinnitus;deafness;vertigo;dysstasia;arthralgia;arthritis;arthropathy;ataxia;atrophy;auditory;axonal neuropathy;back pain;balance disorder;blindness;blood creatine phosphokinase increased;bone pain;brain herniation;brain neoplasm;burning sensation;carpal tunnel syndrome;cataract;central nervous system lesion;cerebellar ataxia;cerebellar syndrome;cerebral ventricle dilatation;cerebrovascular accident;conductive deafness;diplopia;extraocular muscle paresis;eyelid ptosis;grip strength decreased;hemiparesis;hemiplegia;hyperreflexia;hypoaesthesia;hypotonia;intervertebral disc degeneration;intervertebral disc protrusion;intracranial pressure increased;joint stiffness;joint swelling;macular oedema;maculopathy;mitochondrial myopathy;mobility decreased;muscle atrophy;muscle disorder;muscle spasms;muscular weakness;musculoskeletal discomfort;musculoskeletal disorder;musculoskeletal pain;musculoskeletal stiffness;myelitis transverse;myopathy;myositis;neck pain;necrotising retinitis;neuropathy peripheral;night blindness;ocular hyperaemia;ophthalmoplegia;optic atrophy;osteoarthritis;pain in extremity;paraparesis;photophobia;polyneuropathy chronic;progressive external ophthalmoplegia;radiculopathy;retinal toxicity;retinopathy;rhabdomyolysis;sensory disturbance;spinal cord compression;spinal cord injury;spinal disorder;spinal osteoarthritis;spinal pain;spinal stenosis;spinocerebellar disorder;tendonitis;vertebral foraminal stenosis;viith nerve paralysis;vision blurred;visual acuity reduced;visual field defect;visual impairment
Neuropsychiatric Disorders,anxiety;emotional distress;depression;suicidal ideation;psychotic disorder;insomnia;depressive symptom;hallucination;psychomotor skills impaired;nervous system disorder;psychiatric decompensation;headache;paranoia;agitation;somnolence;sleep disorder;fear;panic attack;cognitive disorder;disorientation;hypokinesia;restlessness;dementia alzheimer's type;altered state of consciousness;bipolar disorder;psychotic symptom;mania;aphasia;schizophrenia;drug dependence;mood altered;acute psychosis;catatonia;amnesia;mood swings;memory impairment;neuropsychiatric symptoms;dysphonia;stress;suicide attempt;nightmare;crying;abnormal behaviour;acute stress disorder;aggression;aids dementia complex;anhedonia;apathy;attention deficit/hyperactivity disorder;coma;completed suicide;confusional state;delirium;dementia;depressed level of consciousness;depressed mood;depression suicidal;disturbance in attention;drug abuse;eating disorder;encephalopathy;epilepsy;fear-related avoidance of activities;feeling drunk;generalised tonic-clonic seizure;hiv-associated neurocognitive disorder;intentional overdose;intentional product misuse;irritability;loss of consciousness;major depression;mental disorder;mental impairment;migraine;nervousness;neurological symptom;neuropsychiatric syndrome;neuropsychological symptoms;neurotoxicity;post-traumatic stress disorder;posterior reversible encephalopathy syndrome;progressive multifocal leukoencephalopathy;psychiatric symptom;psychomotor retardation;sleep terror;slow response to stimuli;speech disorder;tearfulness;thinking abnormal;unresponsive to stimuli;white matter lesion
Opportunistic Infections,cryptococcosis;cytomegalovirus infection;tuberculosis;herpes zoster;pneumocystis jirovecii pneumonia;histoplasmosis;toxoplasmosis;oral candidiasis;meningitis tuberculous;lymph node tuberculosis;pulmonary tuberculosis;infection;genital herpes;atypical mycobacterial infection;bacteraemia;bacterial sepsis;bone tuberculosis;candida infection;cellulitis;cerebral toxoplasmosis;clostridium difficile colitis;coccidioidomycosis;conjunctivitis;covid-19;cytomegalovirus chorioretinitis;cytomegalovirus oesophagitis;encephalitis;extrapulmonary tuberculosis;helicobacter infection;hepatitis a;hepatitis b;hepatitis c;hiv infection;hiv test positive;human immunodeficiency virus transmission;influenza;influenza like illness;kaposi's sarcoma;malaria;meningitis;meningitis cryptococcal;meningitis viral;molluscum contagiosum;mycobacterium avium complex infection;oesophageal candidiasis;ophthalmic herpes zoster;oral herpes;oropharyngeal candidiasis;osteomyelitis;otitis media;pyelonephritis;pyelonephritis acute;sepsis;septic shock;staphylococcal infection;subcutaneous abscess;superinfection bacterial;tuberculoid leprosy;urinary tract infection;viral infection;visceral leishmaniasis;vitritis
Others,economic problem;off label use;product use in unapproved indication;labelled drug-drug interaction medication error;adverse event;no adverse event;neoplasm malignant;unevaluable event;neoplasm progression;acquired gene mutation;dental caries;exostosis;genetic polymorphism;product use in unapproved therapeutic environment;mass
Pregnancy and Birth Complications,hydrops foetalis;placental disorder;oligohydramnios;polyhydramnios;amniotic cavity infection;stillbirth;premature labour;pregnancy;benign hydatidiform mole;abortion incomplete;abortion induced;abortion missed;abortion spontaneous;abortion threatened;caesarean section;ectopic pregnancy;exposure during breast feeding;exposure during pregnancy;exposure via breast milk;foetal death;foetal exposure during pregnancy;foetal growth restriction;gestational diabetes;gestational hypertension;live birth;low birth weight baby;maternal drugs affecting foetus;maternal exposure during breast feeding;maternal exposure during pregnancy;normal newborn;pre-eclampsia;pregnancy on contraceptive;pregnancy on oral contraceptive;pregnancy with implant contraceptive;premature baby;premature delivery;premature rupture of membranes;premature separation of placenta;small for dates baby;twin pregnancy;unintended pregnancy;unwanted pregnancy
Renal and Electrolyte Disorders,acute kidney injury;renal failure;renal impairment;glycosuria;proteinuria;haematuria;nephropathy;pollakiuria;dysuria;nocturia;urinary retention;blood creatinine abnormal;blood creatinine increased;blood urine present;calculus urinary;chromaturia;chronic kidney disease;chronic kidney disease-mineral and bone disorder;creatinine renal clearance decreased;cryptosporidiosis infection;electrolyte imbalance;end stage renal disease;focal segmental glomerulosclerosis;glomerular filtration rate abnormal;glomerular filtration rate decreased;glomerular filtration rate increased;glomerulonephritis;hydronephrosis;hyperphosphaturia;leukocyturia;nephrogenic anaemia;nephrolithiasis;nephropathy toxic;nephrotic syndrome;papillary renal cell carcinoma;protein urine present;renal colic;renal cyst;renal disorder;renal failure acute;renal glycosuria;renal injury;renal mass;renal pain;renal tubular acidosis;renal tubular disorder;renal tubular dysfunction;renal tubular injury;renal tubular necrosis;tubulointerstitial nephritis
Reproductive and Urogenital Disorders,erectile dysfunction;metrorrhagia;amenorrhoea;ovarian failure;enuresis;breast pain;cervix carcinoma;cystitis noninfective;endometrial sarcoma;genital prolapse;infertility;libido decreased;prostate cancer;sexual dysfunction;urinary incontinence;urinary tract inflammation;uterine leiomyoma
Respiratory Disorders,cough;pneumonia;bronchitis;dyspnoea;pharyngitis;upper respiratory tract infection;respiratory distress;asthma;nasopharyngitis;productive cough;acute respiratory distress syndrome;bronchial carcinoma;chronic obstructive pulmonary disease;dyspnoea exertional;hypoxia;interstitial lung disease;lower respiratory tract infection;lung disorder;lung infiltration;nasal obstruction;pleural effusion;pneumonia aspiration;pneumonia bacterial;pneumonia pneumococcal;pneumonitis;pneumothorax;pulmonary mass;rales;respiratory disorder;respiratory failure;respiratory symptom;respiratory tract infection;rhinorrhoea;sleep apnoea syndrome;tachypnoea
